,Ohio,Indiana,Iowa,Georgia,Minnesota,Kentucky,Illinois,Texas,Wisconsin,Kansas,North_Carolina,West_Virginia,Missouri,Pennsylvania,Montana,New_York,California,Nebraska,South_Dakota,Colorado,Oklahoma,Maryland,Michigan,Virginia,Utah,Arkansas,Oregon,Louisiana,North_Dakota,Tennessee,Alabama,New_Mexico,Wyoming,Florida,South_Carolina,Arizona
Ohio,-5.05279150924459,-0.736931574897696,0.0760609298574082,-0.101081726883781,0.112104854316351,-0.562282881986445,-0.282118642766737,0.341930176010353,-0.140541573103239,0.340780365623943,-0.338205073633461,-0.865107110994225,0.0574898766123771,-0.62169701168571,0.38310197033415,-0.435084049291911,0.415255067885286,0.357892464639086,0.333286148147324,0.460579464266131,0.3250256616493,-0.476006057774643,-0.50801009485091,-0.504358942628102,0.466108709969973,0.140570478841915,0.390297902290192,0.17764412214115,0.28486220856149,-0.255795685757195,-0.0212695415238719,0.442409011732777,0.442475345090628,0.005782290034966,-0.216356905114056,0.444442318237057
Indiana,-0.770580290265627,-5.13511321202448,-0.197517031189371,-0.1068570245507,-0.0242429265520256,-0.796264301079702,-0.899123929614127,0.208188738656482,-0.319080957374776,0.141123696660298,-0.159699159598044,-0.38622432080761,-0.287047450777615,-0.238164362613401,0.299717958528739,-0.173278247455757,0.344872260157452,0.185691004678058,0.192894053597786,0.334408719218331,0.13499495001769,-0.167520278451993,-0.505811651089973,-0.208163796882524,0.372662981137571,-0.0919905722414119,0.325421469818769,0.0404406488429375,0.179000883470837,-0.45640205259314,-0.126954376429214,0.327306003963527,0.336155770682667,0.00832192267289067,-0.130069769874251,0.353868079850949
Iowa,0.0650037517249741,-0.141169082353603,-5.40319099188852,0.254258353915778,-0.58806170459644,0.0691460417309074,-0.479282505528864,0.0852081984871057,-0.648174911084721,-0.343193904821637,0.275803461567464,0.207952480851441,-0.515229567152693,0.188323709256121,0.011251924485908,0.144498654121277,0.172877369018648,-0.433275219333085,-0.372386486984552,0.00125062599980751,-0.116960002556418,0.237978873942344,-0.235089629995064,0.260375558619424,0.127169356331199,-0.0669538029652012,0.135615678961474,0.122262727857954,-0.250376759069296,0.0995405326502638,0.184112574998329,0.105199845904271,-0.000782145479227213,0.252300852474982,0.275152961566239,0.163389313777077
Georgia,0.00736662254389838,0.0560987695273756,0.398198425820688,-5.11630556533893,0.457647625043044,-0.246634891399291,0.171141260858577,0.209213566246216,0.364363395561319,0.421227087717164,-0.482339679865354,-0.14122097732692,0.205947904505528,0.0208262868705761,0.520734589766935,0.0718103995964384,0.44361169234065,0.514922995674374,0.537472914354578,0.520922238300439,0.292661999296027,-0.0790848329083282,0.248341554926059,-0.221997293341053,0.517101473938304,-0.00192091712233116,0.462766652730645,-0.187645994428125,0.514810195125819,-0.458570163483893,-0.823996736569149,0.424918911305621,0.552823722508061,-0.780335100949076,-0.920797759735572,0.441204119119203
Minnesota,0.230092346772764,0.157659048099826,-0.460097127904252,0.445368509355632,-5.44282083799416,0.333162357726113,0.0255159680864463,0.304863506082877,-0.682627619260313,0.0371244116733478,0.415857732131211,0.349000691835502,0.086631813060478,0.262676659388146,-0.117964914393486,0.171580045993441,0.180791869175826,-0.225386639007628,-0.513275644263769,0.100410532011064,0.217476111866573,0.325159730631287,-0.204595856655074,0.383158778292497,0.150045367584857,0.301523953817247,0.0896489361300294,0.37772416813552,-0.645570852548381,0.378399595107008,0.425698959044803,0.236567032174232,-0.0326998824031238,0.41088317032039,0.436574679765013,0.231736723276945
Kentucky,-0.605992841778385,-0.805532611568675,0.0261815305585924,-0.399628246815434,0.164051867235364,-5.05908443877069,-0.45563549126281,0.180595651949835,-0.0276327278675501,0.211214061175561,-0.376556498362511,-0.508965351403734,-0.18564911291292,-0.220838426536977,0.375426620349899,-0.125218875093757,0.374143519116051,0.291673140637481,0.314212332867798,0.38723007023303,0.146324758203588,-0.220567240160393,-0.182030488559661,-0.351682013901954,0.415601863815363,-0.169077404258915,0.370107158364604,-0.0837440030345433,0.301500422205405,-1.03977491872722,-0.410291045122049,0.346081307347116,0.406476318455442,-0.170799150563053,-0.398942493335296,0.374992275787841
Illinois,-0.324185811348924,-0.879640535936856,-0.54087201463152,-0.00350980162838449,-0.163840421118489,-0.443769976156894,-5.2665245217734,0.104864515369989,-0.453076077580611,-0.0700576853208952,0.0211601703316772,-0.0995786995582567,-0.693366434950807,-0.0309879718726805,0.212743513466997,-0.018079506599662,0.278851104016021,-0.00343256711170715,0.0400829752444453,0.208692021668632,-0.0391793463126335,0.0216587197686861,-0.399764878818526,0.00433410822314641,0.28177091867596,-0.248264776541263,0.261096265604746,-0.018589389739008,0.0657676043466354,-0.330653454602177,-0.0866372478688072,0.22284449998755,0.226788184890211,0.0703296482097588,0.0186343003546587,0.271524999159094
Texas,0.560550217729099,0.499779307229203,0.345547817223664,0.322253372279798,0.422560388074406,0.462417312653518,0.413130238222685,-5.5680312357965,0.478215157141458,-0.0974222917974412,0.48636051919004,0.558073119115235,0.168049059143384,0.556413248288404,0.261897910428745,0.519486113207854,0.0581518781214598,0.159709345666696,0.299717132391269,-0.0493761561071676,-0.512126574243926,0.537579906788154,0.529811454561547,0.536570110374503,0.0532828727494659,-0.126440158011237,0.171170457820689,-0.322553263956808,0.354496486903404,0.35649550233821,0.183568229149716,-0.409240203356826,0.180202139688521,0.192108724929107,0.422385519667192,-0.145980622590562
Wisconsin,-0.0739673049331567,-0.195504631953451,-0.588580148992089,0.293286132409121,-0.748633735225891,0.0840986560210074,-0.331056613464288,0.292216109862213,-5.38605214083455,0.0782649376962035,0.24014174953743,0.120279632203622,-0.0789242051507424,0.0461889745824724,0.0895949071839855,-0.0226855130220489,0.267249077627757,-0.0395934370591611,-0.145024446866607,0.221833487771917,0.199520024890842,0.135616053611651,-0.741055105894466,0.190075563818065,0.266295056708561,0.185436693419194,0.205431607110601,0.287406050374891,-0.198889326494393,0.17419861488316,0.27856545171111,0.296379108068661,0.154721412245193,0.294026358011369,0.272959024537364,0.303677995473187
Kansas,0.356476837911016,0.228146932461699,-0.299301757372213,0.319776303940818,-0.054735204541554,0.288012768641373,0.0288320662058742,-0.306021983162094,0.0533252958186055,-5.42148658491106,0.412619131305203,0.417312316928361,-0.352874641838865,0.406831528097368,-0.0286616661205745,0.363471195051726,0.0214635576177694,-0.734753417819918,-0.284923996294956,-0.416352581650447,-0.818355713291982,0.419909254635641,0.220883150314931,0.430499079394248,-0.09823295842637,-0.21892052613193,0.0445363363645142,-0.0333633283675122,-0.0825663858495247,0.235347794002324,0.205622510374857,-0.293980911654059,-0.17435249236731,0.269170859617793,0.380455762668281,-0.0947884669376013
North_Carolina,-0.248583977975955,-0.00970944669151917,0.42548395659013,-0.503651998948067,0.4351844001992,-0.241276909982449,0.192388972452053,0.394869276208267,0.310567492556542,0.529860879139786,-4.94759432900681,-0.635567719490856,0.328044069938266,-0.370109611528495,0.542452005965476,-0.233228466169201,0.499698960900646,0.575716168253072,0.564464507347208,0.6008772823604,0.455741242774065,-0.595458823546501,0.112640792356745,-1.01609356791171,0.580083337952141,0.247833571043196,0.496694362676564,0.15139672412319,0.516250954850115,-0.194473685100088,-0.165798837950931,0.535071715753826,0.599048795631749,-0.336965093076981,-1.05860872690499,0.526755434348103
West_Virginia,-0.875363295580685,-0.334412366925008,0.260841763502532,-0.231838372284809,0.27381978458358,-0.46114485360665,-0.0261683604905333,0.384237114195998,0.0919057655370148,0.445455136763994,-0.711147626271213,-4.89277801786728,0.204596730427504,-0.774065118964601,0.462733529258506,-0.469745861045366,0.461919773636901,0.473350103460199,0.451783884714007,0.537672715306741,0.403518875531438,-0.805437534980265,-0.190559634325368,-1.09737649469865,0.528135916329846,0.209037108064494,0.444908076745001,0.188347669176587,0.399467926495443,-0.239492908385084,-0.0635458030087053,0.498592789421102,0.524070128028532,-0.100460832977977,-0.453233812113465,0.493285631138862
Missouri,0.015923226592352,-0.258485201583607,-0.547183607991351,0.0443468846634103,-0.0845727742906641,-0.162216017667342,-0.660263814490758,-0.123137217744094,-0.179602189825129,-0.428862187776571,0.157178561664129,0.126236563110506,-5.38844076617121,0.173114902861636,0.162039127507443,0.164442042738823,0.200674313467584,-0.188344691423247,-0.0351936583283526,0.0456441534832101,-0.424979284372373,0.193677035033101,-0.0539324317514009,0.176277505460106,0.175192872668419,-0.654356165304416,0.205097643420322,-0.206285132997308,0.0522597460995721,-0.219882567968766,-0.116182128552737,0.0520804870953778,0.1284823612382,0.077740041247913,0.11824472006796,0.151637461971551
Pennsylvania,-0.507080614453879,-0.0571968288940117,0.364220552596836,0.0503965767514565,0.302719604522826,-0.0412716498317703,0.171751005693816,0.50604456045153,0.133921830813851,0.558737602787343,-0.335532432853951,-0.662593862123118,0.382433173223807,-4.99873999542081,0.490456774835213,-1.03776289828735,0.504348524257779,0.553765077841217,0.503989786802622,0.610045021751331,0.537852374470436,-1.10511296417764,-0.206643661107834,-0.633079380131994,0.581094790119785,0.403765321225418,0.47354709558194,0.367471493282103,0.425331217030895,0.103298797638277,0.195520962658481,0.58133801714861,0.572821478100535,0.0774652464299609,-0.129128116998805,0.556590664794257
Montana,0.745330970069614,0.735104888498971,0.409642513087125,0.765603218692658,0.131396754974189,0.796539173078964,0.667177228585387,0.409929742478543,0.415989978809498,0.320030961596847,0.767019162872831,0.773623675690673,0.605645223061115,0.686754060831183,-5.46374211945322,0.591569798882892,-0.204831959638706,0.0678981912303766,-0.171820956585489,-0.0912435132401993,0.448406020406991,0.705648168343074,0.542057949269292,0.760093261663159,-0.30424931817205,0.65016541906171,-0.505380170468844,0.62583965781856,-0.371799267121244,0.792888894134667,0.752471985551181,0.128174115381732,-0.669901616138614,0.668023577006238,0.770302162390002,-0.0116522292302355
New_York,-0.167278055231402,0.155524010886519,0.456933951749376,0.235539331447635,0.341472668262862,0.199281257440666,0.329246209899613,0.595300161185934,0.201969923905034,0.645910942743896,-0.0637037515799045,-0.21631238677407,0.514185231220776,-0.883276610082926,0.513192866220049,-5.25042077670361,0.536583932638782,0.619858782735761,0.550554075942829,0.666363116996732,0.636690586356394,-0.604145468920574,-0.126324456316698,-0.24171095246855,0.622050197265194,0.538821228730291,0.495135236085516,0.492455228224203,0.451587064526393,0.308768865841178,0.363666156309464,0.6439427191532,0.612063391616756,0.213907949707296,0.0894139498554704,0.604775666829906
California,0.996763214024638,1.00413115247869,0.807473429925408,0.908354975281836,0.665392541904966,1.01585507969447,0.962816567768145,0.415573049242022,0.827606720238684,0.592597168468652,0.939739775646114,0.986051507404397,0.874858674720385,0.914335837312758,-0.00469537953961792,0.83489121599572,-5.48295512747067,0.518029152893945,0.475171530120337,0.108505557963901,0.604350935262538,0.908568559939773,0.887200940392687,0.951397500425934,-0.447737074474363,0.821144492405216,-0.649649972695103,0.716506599360939,0.418726246202003,0.986453941205078,0.894627643709809,0.0189017137409184,0.0276340792766628,0.769110679474138,0.927452790384995,-0.467080781705707
Nebraska,0.399793573748943,0.297118821600701,-0.370186240625493,0.435712702256864,-0.292096340007694,0.391198435437138,0.119202578705815,-0.0255411175103329,-0.0392366168813992,-0.718813141768294,0.48241804836007,0.470087630779234,-0.0876081679715915,0.430699806292687,-0.243144652555984,0.369131811560818,-0.018458017093629,-5.38175059844133,-0.856660903210703,-0.494614368190406,-0.234453224998259,0.455653970821747,0.190255831091319,0.484091204412041,-0.178614202707234,0.0906802111093911,-0.0485137620755766,0.198994313640491,-0.412471352451912,0.37373650141685,0.36465299335005,-0.175171256513235,-0.427058373223789,0.379778148884111,0.469171227070733,-0.0727546936275446
