,Ohio,Indiana,Iowa,Georgia,Minnesota,Kentucky,Illinois,Texas,Wisconsin,Kansas,North_Carolina,West_Virginia,Missouri,Pennsylvania,Montana,New_York,California,Nebraska,South_Dakota,Colorado,Oklahoma,Maryland,Michigan,Virginia,Utah,Arkansas,Oregon,Louisiana,North_Dakota,Tennessee,Alabama,New_Mexico,Wyoming,Florida,South_Carolina,Arizona
Ohio,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935,0.873257818301935
Indiana,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418,0.23853689908418
Iowa,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225,-0.545708028374225
Georgia,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884,0.620660212859884
Minnesota,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303,0.0258615040927303
Kentucky,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189,-0.187247397699189
Illinois,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279,0.981085845811279
Texas,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154,1.59520378570154
Wisconsin,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694,0.107472932077694
Kansas,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811,-0.624782226184811
