"predictor","n_trees","mean_coef","sd_coef","ci_lower","ci_upper","prop_p05","prop_p10","clade","epoch","n_states","states_used","model_type","sig_robust","sig_moderate"
"gcd",1020,0.453065735383122,0.248689325472528,-0.121991901229445,0.789126534214766,0.782352941176471,0.82843137254902,"1990.1","post",7,"Illinois|Iowa|Minnesota|Missouri|Oklahoma|Tennessee|Texas","multivariate",FALSE,TRUE
"human_migration",1020,0.222797656732334,0.167345916650002,-0.177504152664013,0.503446545656639,0.181372549019608,0.336274509803922,"1990.1","post",7,"Illinois|Iowa|Minnesota|Missouri|Oklahoma|Tennessee|Texas","multivariate",FALSE,FALSE
"human_pop_dest",1020,-0.0477062258244785,0.172802804833694,-0.312022838982914,0.385630039992388,0.00882352941176471,0.0343137254901961,"1990.1","post",7,"Illinois|Iowa|Minnesota|Missouri|Oklahoma|Tennessee|Texas","multivariate",FALSE,FALSE
"human_pop_orig",1020,-0.0958593470328693,0.199359418304499,-0.380041903534885,0.406981966851158,0.0431372549019608,0.105882352941176,"1990.1","post",7,"Illinois|Iowa|Minnesota|Missouri|Oklahoma|Tennessee|Texas","multivariate",FALSE,FALSE
"swine_pop_dest",1020,0.0334487152180306,0.104918374905605,-0.180423001698227,0.25083624761973,0.00392156862745098,0.00980392156862745,"1990.1","post",7,"Illinois|Iowa|Minnesota|Missouri|Oklahoma|Tennessee|Texas","multivariate",FALSE,FALSE
"swine_pop_orig",1020,0.0685073680991833,0.080584403735993,-0.100927998361572,0.229505922614249,0.0176470588235294,0.0362745098039216,"1990.1","post",7,"Illinois|Iowa|Minnesota|Missouri|Oklahoma|Tennessee|Texas","multivariate",FALSE,FALSE
"swine_shipment",1020,0.0596575984354383,0.084259978542344,-0.0952909308012308,0.211105847354999,0.000980392156862745,0.00686274509803922,"1990.1","post",7,"Illinois|Iowa|Minnesota|Missouri|Oklahoma|Tennessee|Texas","multivariate",FALSE,FALSE
"gcd",1020,0.429578578730432,0.0411205014371317,0.358060424555145,0.517793608601533,0.00392156862745098,0.173529411764706,"1990.4","pre",11,"Alabama|Arkansas|Illinois|Iowa|Minnesota|Nebraska|North_Carolina|Ohio|Oklahoma|Texas|Wisconsin","multivariate",FALSE,FALSE
"human_migration",1020,0.363243722794934,0.0353676515718719,0.298648130500455,0.437508071044919,0,0,"1990.4","pre",11,"Alabama|Arkansas|Illinois|Iowa|Minnesota|Nebraska|North_Carolina|Ohio|Oklahoma|Texas|Wisconsin","multivariate",FALSE,FALSE
"human_pop_dest",1020,0.0474407884575651,0.0588491026898405,-0.0621836938232895,0.166456392447075,0,0,"1990.4","pre",11,"Alabama|Arkansas|Illinois|Iowa|Minnesota|Nebraska|North_Carolina|Ohio|Oklahoma|Texas|Wisconsin","multivariate",FALSE,FALSE
"human_pop_orig",1020,0.0785193276174514,0.0607563989721328,-0.0353984855824003,0.199939275221488,0,0,"1990.4","pre",11,"Alabama|Arkansas|Illinois|Iowa|Minnesota|Nebraska|North_Carolina|Ohio|Oklahoma|Texas|Wisconsin","multivariate",FALSE,FALSE
"swine_pop_dest",1020,-1.41821295716166,0.0872811203035046,-1.59130588020954,-1.24246814756268,1,1,"1990.4","pre",11,"Alabama|Arkansas|Illinois|Iowa|Minnesota|Nebraska|North_Carolina|Ohio|Oklahoma|Texas|Wisconsin","multivariate",TRUE,TRUE
"swine_pop_orig",1020,-1.2704619245866,0.0863089537863893,-1.43697122951474,-1.09304792401222,1,1,"1990.4","pre",11,"Alabama|Arkansas|Illinois|Iowa|Minnesota|Nebraska|North_Carolina|Ohio|Oklahoma|Texas|Wisconsin","multivariate",TRUE,TRUE
