origin,dest,clade,epoch,n_trees,mean_patristic,mean_fitted,mean_residual,prop_outlier
Oklahoma,Minnesota,1990.1,post,1020,4.259921577,3.636856559,0.623065018,0.829411765
Minnesota,Oklahoma,1990.1,post,1020,4.259921577,3.683264931,0.576656646,0.689215686
Minnesota,Tennessee,1990.1,post,1020,2.405723757,2.959933966,-0.554210209,0.591176471
Tennessee,Minnesota,1990.1,post,1020,2.405723757,2.956505366,-0.550781609,0.568627451
Oklahoma,Tennessee,1990.1,post,1020,3.529088023,3.14149422,0.387593803,0.168627451
Tennessee,Oklahoma,1990.1,post,1020,3.529088023,3.167079698,0.362008326,0.147058824
Missouri,Oklahoma,1990.1,post,1020,2.877549457,2.999277523,-0.121728067,0.070588235
Oklahoma,Missouri,1990.1,post,1020,2.877549457,2.955089893,-0.077540436,0.056862745
Minnesota,Illinois,1990.1,post,1020,2.751283853,3.025001536,-0.273717683,0.015686275
Texas,Tennessee,1990.1,post,1020,3.192040676,3.074769995,0.117270682,0.014705882
Iowa,Tennessee,1990.1,post,1020,2.059758342,2.395585241,-0.335826899,0.01372549
Minnesota,Texas,1990.1,post,1020,4.042251175,3.682514515,0.35973666,0.012745098
Tennessee,Texas,1990.1,post,1020,3.192040676,3.081466971,0.110573706,0.011764706
Oklahoma,Iowa,1990.1,post,1020,3.000017141,3.137741564,-0.137724424,0.008823529
Illinois,Minnesota,1990.1,post,1020,2.751283853,2.920595663,-0.16931181,0.007843137
Iowa,Oklahoma,1990.1,post,1020,3.000017141,3.128962998,-0.128945857,0.005882353
Oklahoma,Texas,1990.1,post,1020,2.993195842,3.163063374,-0.169867532,0.002941176
Texas,Missouri,1990.1,post,1020,3.068853153,3.102175723,-0.03332257,0.002941176
Texas,Oklahoma,1990.1,post,1020,2.993195842,3.173841075,-0.180645233,0.001960784
Minnesota,Missouri,1990.1,post,1020,2.78447935,2.9381837,-0.15370435,0.001960784
Missouri,Minnesota,1990.1,post,1020,2.78447935,2.903344217,-0.118864867,0.001960784
Missouri,Texas,1990.1,post,1020,3.068853153,3.067316951,0.001536202,0.001960784
Texas,Minnesota,1990.1,post,1020,4.042251175,3.701569103,0.340682072,0.000980392
Illinois,Texas,1990.1,post,1020,3.311547112,3.364315234,-0.052768122,0.000980392
Tennessee,Iowa,1990.1,post,1020,2.059758342,2.309678113,-0.249919772,0
Texas,Iowa,1990.1,post,1020,3.116701008,3.33546043,-0.218759422,0
Illinois,Missouri,1990.1,post,1020,2.221127779,2.034250287,0.186877492,0
Minnesota,Iowa,1990.1,post,1020,2.763579036,2.617425624,0.146153412,0
Missouri,Illinois,1990.1,post,1020,2.221127779,2.090136721,0.130991058,0
Iowa,Minnesota,1990.1,post,1020,2.763579036,2.662200412,0.101378624,0
Iowa,Texas,1990.1,post,1020,3.116701008,3.214853592,-0.098152584,0
Texas,Illinois,1990.1,post,1020,3.311547112,3.391384528,-0.079837416,0
Illinois,Iowa,1990.1,post,1020,2.33156035,2.255401962,0.076158388,0
Illinois,Oklahoma,1990.1,post,1020,3.296023153,3.225475142,0.070548012,0
Illinois,Tennessee,1990.1,post,1020,2.109664964,2.053293897,0.056371067,0
Oklahoma,Illinois,1990.1,post,1020,3.296023153,3.243338906,0.052684247,0
Iowa,Missouri,1990.1,post,1020,2.232046651,2.182101515,0.049945135,0
Iowa,Illinois,1990.1,post,1020,2.33156035,2.374480091,-0.042919741,0
Missouri,Iowa,1990.1,post,1020,2.232046651,2.190760475,0.041286175,0
Missouri,Tennessee,1990.1,post,1020,2.097755289,2.126691107,-0.028935818,0
Tennessee,Missouri,1990.1,post,1020,2.097755289,2.125915861,-0.028160572,0
Tennessee,Illinois,1990.1,post,1020,2.109664964,2.095536697,0.014128267,0
Alabama,Texas,1990.4,pre,1020,13.43214657,16.42888519,-2.996738621,1
Texas,Alabama,1990.4,pre,1020,13.43214657,16.40865614,-2.976509571,1
Ohio,Illinois,1990.4,pre,1020,7.551896702,9.867734609,-2.315837906,1
Illinois,Ohio,1990.4,pre,1020,7.551896702,9.857941184,-2.306044481,1
Alabama,Arkansas,1990.4,pre,1020,17.53096834,15.36969496,2.161273374,1
Ohio,Alabama,1990.4,pre,1020,17.94462754,15.85890475,2.085722789,0.997058824
Alabama,Ohio,1990.4,pre,1020,17.94462754,15.86157876,2.083048784,0.996078431
Arkansas,Alabama,1990.4,pre,1020,17.53096834,15.45376007,2.077208263,0.994117647
Arkansas,Ohio,1990.4,pre,1020,8.269251351,10.37354239,-2.104291041,0.859803922
Ohio,Arkansas,1990.4,pre,1020,8.269251351,10.26819701,-1.99894566,0.676470588
Wisconsin,Texas,1990.4,pre,1020,7.856054236,9.768356704,-1.912302469,0.421568627
Texas,Wisconsin,1990.4,pre,1020,7.856054236,9.758931001,-1.902876765,0.387254902
Texas,Ohio,1990.4,pre,1020,13.01814549,11.26291131,1.755234177,0.000980392
Ohio,Texas,1990.4,pre,1020,13.01814549,11.35845251,1.659692979,0
Alabama,Illinois,1990.4,pre,1020,16.82825032,15.24868157,1.579568747,0
Illinois,Alabama,1990.4,pre,1020,16.82825032,15.28622377,1.542026547,0
Arkansas,Texas,1990.4,pre,1020,12.60448628,11.06956517,1.534921109,0
Wisconsin,Alabama,1990.4,pre,1020,13.19059406,14.58783868,-1.397244628,0
Texas,Arkansas,1990.4,pre,1020,12.60448628,11.21085789,1.393628388,0
Arkansas,Illinois,1990.4,pre,1020,8.471766168,9.781683313,-1.309917144,0
Illinois,Arkansas,1990.4,pre,1020,8.471766168,9.773634532,-1.301868364,0
Alabama,Wisconsin,1990.4,pre,1020,13.19059406,14.47948535,-1.288891292,0
Alabama,North_Carolina,1990.4,pre,1020,14.18676661,15.38963668,-1.202870072,0
Texas,Illinois,1990.4,pre,1020,11.81230182,10.63138827,1.180913558,0
North_Carolina,Alabama,1990.4,pre,1020,14.18676661,15.3316804,-1.144913787,0
Illinois,Texas,1990.4,pre,1020,11.81230182,10.79853486,1.013766964,0
Minnesota,Alabama,1990.4,pre,1020,15.47655897,14.48178346,0.994775506,0
Alabama,Minnesota,1990.4,pre,1020,15.47655897,14.49252609,0.98403288,0
Texas,Iowa,1990.4,pre,1020,8.971990658,9.721271781,-0.749281123,0
Arkansas,Minnesota,1990.4,pre,1020,8.631875394,9.335658361,-0.703782967,0
Nebraska,Ohio,1990.4,pre,1020,10.30306476,9.619727872,0.68333689,0
Wisconsin,Iowa,1990.4,pre,1020,7.698610087,7.038979257,0.659630829,0
Oklahoma,Wisconsin,1990.4,pre,1020,8.238554747,7.618976874,0.619577873,0
Minnesota,Arkansas,1990.4,pre,1020,8.631875394,9.238652387,-0.606776993,0
Wisconsin,Ohio,1990.4,pre,1020,8.347533401,8.942568693,-0.595035292,0
