clade	date	year	location	decimal_date	sequence_name	tree_label	name_cleaned	clade_final
2010.1	2025-05-07	2025	Ohio	2025.345205	A/swine/Ohio/A02858604/2025|A_/_H3N2|unassigned|2025-05-07|HA|4||EPI_ISL_19890478	A/swine/Ohio/A02858604/2025|A_/_H3N2|unassigned|2025-05-07|HA|4||EPI_ISL_19890478	swine_Ohio_2025-05-07_A02858604_EPI_ISL_19890478	2010.1
2010.1	2025-03-31	2025	Ohio	2025.243836	A/swine/Ohio/A02858495/2025|A_/_H3N2|unassigned|2025-03-31|HA|4||EPI_ISL_19850031	A/swine/Ohio/A02858495/2025|A_/_H3N2|unassigned|2025-03-31|HA|4||EPI_ISL_19850031	swine_Ohio_2025-03-31_A02858495_EPI_ISL_19850031	2010.1
2010.1	2025-04-28	2025	Indiana	2025.320548	A/swine/Indiana/A02858566/2025|A_/_H3N2|3C.2|2025-04-28|HA|4||EPI_ISL_19885006	A/swine/Indiana/A02858566/2025|A_/_H3N2|3C.2|2025-04-28|HA|4||EPI_ISL_19885006	swine_Indiana_2025-04-28_A02858566_EPI_ISL_19885006	2010.1
2010.1	2024-10-26	2024	Ohio	2024.81694	A/swine/Ohio/24-28989-1/2024|A_/_H3N2|unassigned|2024-10-26|HA|4||EPI_ISL_20187734	A/swine/Ohio/24-28989-1/2024|A_/_H3N2|unassigned|2024-10-26|HA|4||EPI_ISL_20187734	swine_Ohio_2024-10-26_24-28989-1_EPI_ISL_20187734	2010.1
2010.1	2023-05-18	2023	Iowa	2023.375342	A/swine/Iowa/A02861531/2023|A_/_H3N2|3C.2|2023-05-18|HA|4||EPI_ISL_18037870	A/swine/Iowa/A02861531/2023|A_/_H3N2|3C.2|2023-05-18|HA|4||EPI_ISL_18037870	swine_Iowa_2023-05-18_A02861531_EPI_ISL_18037870	2010.1
2010.1	2024-03-26	2024	Iowa	2024.23224	A/swine/Iowa/A02862466/2024|A_/_H3N2|3C.2|2024-03-26|HA|4||EPI_ISL_19072961	A/swine/Iowa/A02862466/2024|A_/_H3N2|3C.2|2024-03-26|HA|4||EPI_ISL_19072961	swine_Iowa_2024-03-26_A02862466_EPI_ISL_19072961	2010.1
2010.1	2023-09-14	2023	Iowa	2023.70137	A/swine/Iowa/ISU-A02861810/2023|A_/_H3N2|3C.2|2023-09-14|HA|4||EPI_ISL_18698902	A/swine/Iowa/ISU-A02861810/2023|A_/_H3N2|3C.2|2023-09-14|HA|4||EPI_ISL_18698902	swine_Iowa_2023-09-14_ISU-A02861810_EPI_ISL_18698902	2010.1
2010.1	2023-12-04	2023	Ohio	2023.923288	A/swine/Ohio/ISU-A02862103/2023|A_/_H3N2|3C.2|2023-12-04|HA|4||EPI_ISL_18739152	A/swine/Ohio/ISU-A02862103/2023|A_/_H3N2|3C.2|2023-12-04|HA|4||EPI_ISL_18739152	swine_Ohio_2023-12-04_ISU-A02862103_EPI_ISL_18739152	2010.1
2010.1	2024-08-13	2024	Iowa	2024.614754	A/swine/Iowa/A02862812/2024|A_/_H3N2|3C.2|2024-08-13|HA|4||EPI_ISL_19418483	A/swine/Iowa/A02862812/2024|A_/_H3N2|3C.2|2024-08-13|HA|4||EPI_ISL_19418483	swine_Iowa_2024-08-13_A02862812_EPI_ISL_19418483	2010.1
2010.1	2024-11-06	2024	Ohio	2024.846995	A/swine/Ohio/A02863128/2024|A_/_H3N2|3C.2|2024-11-06|HA|4||EPI_ISL_19603482	A/swine/Ohio/A02863128/2024|A_/_H3N2|3C.2|2024-11-06|HA|4||EPI_ISL_19603482	swine_Ohio_2024-11-06_A02863128_EPI_ISL_19603482	2010.1
2010.1	2024-11-13	2024	Ohio	2024.86612	A/swine/Ohio/24-30524-4/2024|A_/_H3N2|unassigned|2024-11-13|HA|4||EPI_ISL_20187736	A/swine/Ohio/24-30524-4/2024|A_/_H3N2|unassigned|2024-11-13|HA|4||EPI_ISL_20187736	swine_Ohio_2024-11-13_24-30524-4_EPI_ISL_20187736	2010.1
2010.1	2024-11-10	2024	Ohio	2024.857923	A/swine/Ohio/24-30159-3/2024|A_/_H3N2|unassigned|2024-11-10|HA|4||EPI_ISL_20187720	A/swine/Ohio/24-30159-3/2024|A_/_H3N2|unassigned|2024-11-10|HA|4||EPI_ISL_20187720	swine_Ohio_2024-11-10_24-30159-3_EPI_ISL_20187720	2010.1
2010.1	2024-11-12	2024	Ohio	2024.863388	A/swine/Ohio/24-30160-2/2024|A_/_H3N2|unassigned|2024-11-12|HA|4||EPI_ISL_20187719	A/swine/Ohio/24-30160-2/2024|A_/_H3N2|unassigned|2024-11-12|HA|4||EPI_ISL_20187719	swine_Ohio_2024-11-12_24-30160-2_EPI_ISL_20187719	2010.1
2010.1	2024-11-10	2024	Ohio	2024.857923	A/swine/Ohio/24-30150-3/2024|A_/_H3N2|unassigned|2024-11-10|HA|4||EPI_ISL_20187721	A/swine/Ohio/24-30150-3/2024|A_/_H3N2|unassigned|2024-11-10|HA|4||EPI_ISL_20187721	swine_Ohio_2024-11-10_24-30150-3_EPI_ISL_20187721	2010.1
2010.1	2025-03-06	2025	Ohio	2025.175342	A/swine/Ohio/A02858435/2025|A_/_H3N2|3C.2|2025-03-06|HA|4||EPI_ISL_19810990	A/swine/Ohio/A02858435/2025|A_/_H3N2|3C.2|2025-03-06|HA|4||EPI_ISL_19810990	swine_Ohio_2025-03-06_A02858435_EPI_ISL_19810990	2010.1
2010.1	2025-02-17	2025	Ohio	2025.128767	A/swine/Ohio/A02858383/2025|A_/_H3N2|3C.2|2025-02-17|HA|4||EPI_ISL_19790171	A/swine/Ohio/A02858383/2025|A_/_H3N2|3C.2|2025-02-17|HA|4||EPI_ISL_19790171	swine_Ohio_2025-02-17_A02858383_EPI_ISL_19790171	2010.1
2010.1	2025-08-11	2025	Georgia	2025.608219	A/swine/Georgia/083990_02858765/2025|A_/_H3N2|unassigned|2025-08-11|HA|4||EPI_ISL_20170548	A/swine/Georgia/083990_02858765/2025|A_/_H3N2|unassigned|2025-08-11|HA|4||EPI_ISL_20170548	swine_Georgia_2025-08-11_083990_02858765_EPI_ISL_20170548	2010.1
2010.1	2025-09-11	2025	Indiana	2025.693151	A/swine/Indiana/A02858826/2025|A_/_H3N2|unassigned|2025-09-11|HA|4||EPI_ISL_20196503	A/swine/Indiana/A02858826/2025|A_/_H3N2|unassigned|2025-09-11|HA|4||EPI_ISL_20196503	swine_Indiana_2025-09-11_A02858826_EPI_ISL_20196503	2010.1
2010.1	2025-05-14	2025	Minnesota	2025.364384	A/swine/Minnesota/A02980490/2025|A_/_H3N2|unassigned|2025-05-14|HA|4||EPI_ISL_20100714	A/swine/Minnesota/A02980490/2025|A_/_H3N2|unassigned|2025-05-14|HA|4||EPI_ISL_20100714	swine_Minnesota_2025-05-14_A02980490_EPI_ISL_20100714	2010.1
2010.1	2025-06-27	2025	Indiana	2025.484932	A/swine/Indiana/25TOSU2103/2025|A_/_H3N2|unassigned|2025-06-27|HA|4||EPI_ISL_20191161	A/swine/Indiana/25TOSU2103/2025|A_/_H3N2|unassigned|2025-06-27|HA|4||EPI_ISL_20191161	swine_Indiana_2025-06-27_25TOSU2103_EPI_ISL_20191161	2010.1
